state,price,condition,cylinders,fuel,manufacturer,drive,year,title_status,odometer,paint_color,lat,long,lat_clean,long_clean,cluster_gmm_auto_input
oh,15600,excellent,,gas,ford,,2013,clean,108000.0,white,42.9468,-83.817,40.388783,-82.764915,0
mi,26990,good,,gas,volkswagen,fwd,2019,clean,13663.0,,42.27,-83.73,43.326618,-84.536095,10
ia,23985,good,8 cylinders,other,audi,,2012,clean,63336.0,,41.653787,-93.698698,42.011539,-93.210526,7
dc,10970,good,8 cylinders,gas,chevrolet,rwd,2011,clean,171168.0,silver,38.133806,-77.521988,38.9072,-77.0369,6
tx,7950,excellent,6 cylinders,gas,bmw,rwd,2002,clean,73204.0,blue,32.8958,-96.8588,31.054487,-97.563461,11
ga,5990,excellent,4 cylinders,gas,subaru,4wd,2008,clean,120000.0,grey,33.967907,-84.262133,33.040619,-83.643074,4
ks,5995,good,6 cylinders,gas,buick,fwd,1988,clean,77000.0,red,37.708677,-97.497482,38.5266,-96.726486,5
pa,12990,good,8 cylinders,other,chevrolet,4wd,2008,clean,169596.0,white,41936.0,-75.1187,40.590752,-77.209755,7
id,24995,,,gas,toyota,,2007,clean,112777.0,,43.639348,-116.262821,44.240459,-114.478828,9
ky,13900,,,gas,chevrolet,,2017,clean,94086.0,,3738043.0,-84.626784,37.66814,-84.670067,1
tx,11000,fair,other,diesel,ram,,2005,clean,127000.0,,29.7461,-94.9653,31.054487,-97.563461,6
oh,49990,good,8 cylinders,other,gmc,4wd,2020,clean,33829.0,black,41.47,-81.67,40.388783,-82.764915,12
fl,199999,excellent,8 cylinders,gas,mercedes-benz,,2017,clean,15189.0,yellow,28.466088,-81.396429,27.766279,-81.686783,5
wi,2500,,4 cylinders,gas,chrysler,,2002,clean,100532.0,blue,42.348459,-87.885401,44.268543,-89.616508,7
ar,2800,good,6 cylinders,gas,bmw,rwd,1999,clean,148678.0,green,34.751,-92.3455,34.969704,-92.373123,6
tx,12487,good,4 cylinders,diesel,chevrolet,rwd,2015,clean,47695.0,custom,31.453312,-100.464064,31.054487,-97.563461,11
nc,35590,good,8 cylinders,gas,dodge,rwd,2015,clean,40626.0,,35.59,-77.37,35.630066,-79.806419,6
nc,7990,,,hybrid,toyota,fwd,2010,clean,121310.0,,3651287.0,-79.399078,35.630066,-79.806419,10
or,13995,excellent,4 cylinders,hybrid,toyota,fwd,2013,clean,76579.0,white,444814.0,-123.123142,44.572021,-122.070938,6
fl,9900,good,8 cylinders,gas,chevrolet,rwd,2007,clean,190000.0,brown,30.3131,-81.5841,27.766279,-81.686783,11
ma,45000,,,gas,chevrolet,,2018,clean,12480.0,,4297174.0,-72.651255,42.230171,-71.530106,9
tx,38590,good,8 cylinders,gas,gmc,,2015,clean,35023.0,white,316.0,-97.65,31.054487,-97.563461,7
fl,41999,,8 cylinders,diesel,ford,4wd,2011,clean,161001.0,brown,28.8013,-81.285,27.766279,-81.686783,12
ny,11900,excellent,4 cylinders,gas,nissan,fwd,2017,clean,78000.0,grey,42.123702,-76.991573,42.165726,-74.948051,4
fl,9500,excellent,8 cylinders,gas,mercedes-benz,rwd,2006,clean,162000.0,black,27.807976,-81.261406,27.766279,-81.686783,11
ca,45000,excellent,,electric,tesla,4wd,2018,clean,28097.0,blue,37.2458,-121.8306,36.116203,-119.681564,6
tn,7536,,4 cylinders,gas,nissan,fwd,2012,clean,128805.0,white,3525913.0,-89.788637,35.747845,-86.692345,4
nc,32500,excellent,8 cylinders,gas,chevrolet,rwd,1934,clean,50000.0,white,34.9549,-78.7408,35.630066,-79.806419,5
ga,32990,good,6 cylinders,gas,jeep,4wd,2017,clean,30041.0,silver,34.92,-85.25,33.040619,-83.643074,9
ga,2400,,,gas,mini,,2009,clean,168000.0,,34782.0,-84.2281,33.040619,-83.643074,1
oh,18780,excellent,,gas,ford,4wd,2014,clean,83235.0,,40.544174,-84.581165,40.388783,-82.764915,0
mo,28000,like new,8 cylinders,gas,ford,4wd,2015,clean,100000.0,blue,37.685,-92.655,38.456085,-92.288368,6
ma,8999,excellent,4 cylinders,gas,subaru,4wd,2010,clean,97800.0,white,42.5591,-71.5788,42.230171,-71.530106,4
ca,68750,,8 cylinders,gas,audi,,2011,clean,55293.0,,33.986887,-118.444946,36.116203,-119.681564,12
pa,9050,excellent,6 cylinders,gas,volvo,fwd,2010,clean,109090.0,blue,40.387413,-75.133835,40.590752,-77.209755,0
ca,30345,good,8 cylinders,gas,dodge,rwd,2016,clean,25245.0,black,33.869787,-117.938674,36.116203,-119.681564,13
ga,3300,,,gas,honda,,2007,clean,153754.0,,33.6189,-85736.0,33.040619,-83.643074,1
ak,20995,,,other,dodge,fwd,2019,clean,40599.0,white,61.16167,-149.86312,61.370716,-152.404419,2
wi,15045,excellent,,gas,dodge,4wd,2013,clean,115458.0,,43.790599,-88.446483,44.268543,-89.616508,0
ma,7000,excellent,8 cylinders,gas,dodge,rwd,2005,salvage,50200.0,blue,42.107647,-7270227.0,42.230171,-71.530106,6
or,9995,excellent,4 cylinders,gas,honda,fwd,2012,clean,132497.0,silver,44.958208,-12318122.0,44.572021,-122.070938,14
ny,17995,good,8 cylinders,gas,chevrolet,4wd,2015,clean,174819.0,grey,43.21699,-77.75561,42.165726,-74.948051,7
wa,64999,,6 cylinders,gas,ford,4wd,2019,clean,29598.0,blue,47.1991,-122.3151,47.400902,-121.490494,12
ok,2400,good,4 cylinders,gas,kia,fwd,2017,clean,58000.0,brown,35.513336,-97.637553,35.565342,-96.928917,4
or,7984,,,,toyota,,2007,,127170.0,,42.329925,-122.875811,44.572021,-122.070938,1
pa,9999,excellent,4 cylinders,gas,ford,fwd,2014,clean,83868.0,custom,39.829891,-75.125281,40.590752,-77.209755,6
fl,13750,like new,8 cylinders,gas,ram,4wd,2007,clean,154000.0,grey,28.712,-81.3552,27.766279,-81.686783,11
il,18988,excellent,8 cylinders,gas,cadillac,4wd,2011,,160000.0,,38.615965,-90.311124,40.349457,-88.986137,6
me,9000,excellent,4 cylinders,gas,nissan,fwd,2014,clean,81000.0,white,43.5946,-70.6051,44.693947,-69.381927,4
ak,16900,,6 cylinders,gas,bmw,4wd,2011,clean,110161.0,blue,61.13336,-149.86595,61.370716,-152.404419,2
ca,38990,good,,electric,tesla,rwd,2019,clean,11069.0,,33.779214,-84.411811,36.116203,-119.681564,10
mn,21590,good,,gas,volkswagen,fwd,2019,clean,7898.0,blue,46.34,-94.28,45.694454,-93.900192,10
ne,7500,excellent,8 cylinders,gas,ford,4wd,2004,clean,191000.0,custom,40.8667,-97.5825,41.12537,-98.268082,6
ms,30000,excellent,6 cylinders,gas,gmc,4wd,1991,clean,59600.0,black,32.2988,-90.1848,32.741646,-89.678696,5
va,14500,excellent,6 cylinders,gas,mercedes-benz,4wd,2010,clean,77000.0,white,38.46232,-77.402944,37.769337,-78.169968,0
co,16977,,,gas,mercedes-benz,,2014,clean,96025.0,,39.651388,-10505274.0,39.059811,-105.311104,1
md,17989,,6 cylinders,gas,dodge,fwd,2019,clean,46871.0,red,39.444084,-76.60759,39.063946,-76.802101,10
oh,44590,good,,other,ram,,2020,clean,12293.0,white,419.0,-80.64,40.388783,-82.764915,9
tx,19908,,6 cylinders,gas,bmw,rwd,2014,clean,84524.0,black,30.206851,-97.797381,31.054487,-97.563461,11
ca,11988,excellent,4 cylinders,gas,mazda,fwd,2016,clean,,black,38.5892,-121.4057,36.116203,-119.681564,13
ca,8995,excellent,4 cylinders,gas,nissan,fwd,2012,clean,100037.0,red,38.611926,-121.423565,36.116203,-119.681564,13
wa,5000,good,4 cylinders,gas,mazda,rwd,1990,clean,253680.0,,46.9996,-120.5163,47.400902,-121.490494,14
tx,18900,excellent,6 cylinders,gas,acura,fwd,2014,clean,118000.0,grey,26.3791,-98.8093,31.054487,-97.563461,11
ca,19500,,,diesel,chevrolet,rwd,1983,clean,50000.0,,39.6269,-119.7081,36.116203,-119.681564,5
ca,5950,excellent,,gas,mazda,fwd,2009,clean,103107.0,red,32.751305,-117.24593,36.116203,-119.681564,13
ia,8841,good,,other,honda,fwd,2011,clean,93239.0,brown,41.653787,-93.698698,42.011539,-93.210526,10
wa,5500,good,4 cylinders,gas,mazda,fwd,2011,clean,132000.0,grey,47.796357,-120.634323,47.400902,-121.490494,14
ga,28163,,4 cylinders,gas,alfa-romeo,4wd,2018,clean,35248.0,blue,,,33.040619,-83.643074,7
ia,16895,excellent,4 cylinders,gas,volkswagen,fwd,2018,clean,22000.0,black,41.2879,-96.1495,42.011539,-93.210526,4
me,4950,good,6 cylinders,gas,ford,4wd,2010,clean,162250.0,blue,44575.0,-69.9656,44.693947,-69.381927,1
ak,19988,,,hybrid,toyota,fwd,2017,clean,56572.0,black,61.15819,-149.86614,61.370716,-152.404419,2
